570,574,386,55,448,464,145,77,457,573,50,599,559,576,407,567,490,449,483,132
30,236,74,367,198,111,26,524,84,599,641,7,329,282,180,573,570,88,650,710
326,30,236,74,367,111,292,26,524,84,599,7,329,282,573,570,88,650,710,720
632,90,147,325,234,495,385,599,229,64,664,442,51,225,556,477,375,460,322,397
460,225,271,477,299,685,148,442,147,64,637,401,181,331,556,385,435,69,322,338
632,90,147,325,234,495,385,599,229,64,664,442,51,225,556,477,375,460,322,397
460,690,325,69,225,147,264,396,477,81,331,271,299,338,385,442,637,556,374,605
632,90,147,325,234,495,385,599,229,64,664,442,51,225,556,477,375,460,322,397
690,460,477,442,385,520,147,556,225,401,374,396,325,148,322,429,632,299,637,181
685,694,644,684,692,675,686,413,680,674,646,406,689,687,433,597,707,631,645,
695,719,356,190,251,247,240,519,332,246,35,677,47,248,40,579,103,115,447,607
190,447,607,251,213,181,708,713,248,40,579,26,153,128,169,19,183,189,460,150