,0,1,2
0,CODA went bankrupt.,Fisker went bankrupt.,Better Place went bankrupt.
1,France is not and will not bankrupt because it would then be in a state of insolvency.,"Now if France is bankrupt with a 0.3% GDP growth, what is the US with 0.1% shrinkage?",But a poll yesterday by Le Figaro newspaper showed eight out of ten readers agreed that France was indeed bankrupt.
2,Businesses would go bankrupt.,"Here's the short version of what's happening: Cyprus's banks, like many banks in Europe, are bankrupt.","As such, banks don't want to lend, and these companies don't want to borrow for fear of going bankrupt before they even had a shot."
3,"While severe winter weather often affects our third-quarter results, the impact from multiple severe storms and frigid temperatures was significantly more pronounced this year and we are reducing our full-year earnings per share guidance as a result of the weather impact, warned CFO Alan Graf, Jr.","Rising inequality could also hurt the economy,as Wall Street is starting to notice.As noted bySocit Gnrale strategist Albert Edwards, ""you don't have to bea communist to conclude that high levels of inequality not only adversely affects long-term growth, but also increases the economys vulnerability to recession.""","Real GDP has grown in 16 of 17 quarters, and the level of real GDP in the third quarter of 2013 was 5-1/2 percent above its pre-recession peak."
4,"They then compared YLL over time with ""the percentage change in daily mortality associated with changes in air pollutants.""","With a savings rate of 8% (roughly that of the American economy) and GDP growth of 2%, wealth should rise to 400% of annual output, for example, while a drop in long-run growth to 1% would push up expected wealth to 800% of GDP.",And the only way we could have experienced a drop in the unemployment rate in the past year from 8.2% to 7.4% in the face of sub-2% economic growth strongly suggests that we are now on our way to a potential non-inflationary speed limit of just 1%.
5,"This savings crisis affects individuals, families and the entire American economy.","They also mention lack of innovation, which affects brand desirability and ultimately investor sentiment and growth prospects.","Draghi also raised GDP projections in 2013 to -0.4% (up from -0.6%), and lowered 2014 GDP projections to 1.0% from 1.1%."
6,"They then compared YLL over time with ""the percentage change in daily mortality associated with changes in air pollutants.""",Each index is calculated by subtracting the percentage of respondents reporting a decrease from the percentage reporting an increase.,"The change in real private inventories added 0.59 percentage point to the second-quarter change in real GDP, after adding 0.93 percentage point to the first-quarter change."
7,"And unemployment is at the heart of the macro dynamics that shape short- and medium-term inflation, meaning it also affects central banks.","""At our firm, the kind of event we're keeping an eye out for is a market correction that affects stocks that look like bonds--telecom stocks for example, that have high dividend yields and relatively low volatility,"" he writes.","In the upcoming year, the company's CFO, Mark Hood, said, ""consumer confidence continues to be adversely impacted by ongoing macroeconomic headwinds, including health care costs and unemployment which disproportionately affects lower- and middle- income consumers."""
8,Japan GDP beat estimates on an unexpected surge in capital spending.,"This is the big risk  margin compression affects the E, while inflation, insofar as the tight historical relationship with final prices holds, even if to a smaller degree this time around, affects the P/E.","Here's his statement: Despite the 1% drop in real GDP in the first quarter, we believe that the US economy is now growing at an above-trend pace."
9,Actavis' CEO Brent Saunders will lead the company.,Actavis' CEO Brent Saunders addressed this argument head on in a CNBC interview after the Actavis-Allergan merger was announced.,"The combined company will be led by Brent Saunders, CEO and President of Actavis, and Paul Bisaro will remain Executive Chairman of the Board."
10,"Activist investor Carl Icahnissued an open letter to Apple CEO Tim Cook, in which he reiterated his call that Apple should buyback more stock and argued that Apple shares should be worth $203.","Leon Cooperman also spoke on Apple, as he was on live as Carl Icahn's open letter to Apple CEO Tim Cook crossed the wires, with Cooperman saying that Apple shares were currently 20% undervalued.","Here's the full letter: Dear Tim, As a large Apple shareholder with approximately 53 million shares, we applaud you and the rest of management, especially in light of recent launches and announcements which further validate our view that you are the ideal CEO for Apple."
11,BlackRock's Landers shares the same sentiment and sees opportunity in the selling pressure.,"""Unfortunately, like a lot of conventional wisdom, its wrong,"" writes BlackRock's Russ Koesterich.","Dubbed ""The guide that fund managers would love to ban"", BestInvest names Scottish Widows, BlackRock, Baillie Gifford, F&amp;C Investments and Jupiter as the big investment management houses that are failing to deliver."